,Boiler 1 MBtu,Boiler 2 MBtu,Total Boiler NG Consumption (MBtu),Pump 4a kW (Correlated),Pump 4b kW (Correlated),Heating System kW,AHU 19 Total kW (Correlated),HRU Total kW (Correlated),Pump 1a kW (Formula Based),Pump 1b kW (Formula Based),Pump 2a kW (Correlated),Pump 2b kW (Correlated),Pump 3a kW (Formula Based),Pump 3b kW (Formula Based),Tower Fan 1 kW (Correlated),Tower Fan 2 kW (Correlated),Chiller kW,Total CHW kW,temperature_2m,HDD,CDD,Total Heating Plant Energy Consumption (MMBtu)
00:00,66.31637560111365,1069.1757076942263,1135.4920832953399,0.39275249488465874,1.7061349192238968,2.098887414108556,0.23674516916541036,0.026428220864142,3.9770659839999993,1.491399744,0.6375190335549559,0.2704659215827592,1.491399744,0.745699872,0.0,0.0,11.377777735392252,19.991328034529968,59.8169,5.3292901357014975,0.14618988037109376,1.1426534871522782
01:00,10.361933687674007,1119.0013717421125,1129.3633054297864,0.4036349474878386,1.713229294531767,2.1168642420196053,0.1062885974714864,0.026428220864142,3.9770659839999993,1.491399744,0.6384049647272126,0.27189723182962466,1.491399744,0.745699872,0.0,0.0,11.362222178777058,19.978089719333898,58.991898,6.116830062866211,0.10873006184895834,1.1365860462235573
02:00,137.8137180460643,1012.0838009726899,1149.8975190187543,0.4071946657523146,1.6861131860603846,2.0933078518126993,0.1062885974714864,0.026428220864142,3.9770659839999993,1.491399744,0.6376825108544492,0.26986298605106257,1.491399744,0.745699872,0.0,0.0,7.592222293217977,16.20533313412349,58.4249,6.695830535888672,0.12073008219401042,1.1570398854091393
03:00,61.653505441660336,858.4546701583738,920.1081756000342,0.45766147473931124,1.7222523895430648,2.179913864282376,0.1062885974714864,0.026428220864142,3.9770659839999993,1.491399744,0.6355107424435249,0.2720488380801664,1.491399744,0.745699872,0.0,0.0,7.946666600969103,16.559791525492795,57.374897,7.703829828898112,0.07873001098632812,0.9275460417049657
04:00,54.91824854467224,1149.623394438209,1204.5416429828813,0.47736154645983325,1.7140455312411993,2.191407077701032,0.1062885974714864,0.026428220864142,3.9770659839999993,1.491399744,0.6547807435827981,0.28972997246933596,1.491399744,0.745699872,0.0025314035607417813,0.002831309608232022,27.69555581940545,36.350994592626556,56.5229,8.52583033243815,0.048729960123697916,1.2120187239319973
05:00,71.49734244495065,1117.4443197406158,1188.9416621855667,0.7141721562399612,1.9909683819502861,2.705140538190247,0.1062885974714864,0.026428220864142,2.154244074666666,1.491399744,0.43081082870169907,0.3027910583775617,0.8699831840000001,0.745699872,0.0063723836759783554,0.007127346824088166,27.210000244776406,33.2184287370224,55.8809,9.16783078511556,0.048729960123697916,1.1981716017018718
06:00,196.35864338142244,1040.629754333458,1236.9883977148806,0.9880904275608215,1.8288092413686337,2.8168996689294548,0.2995302870650504,0.026428220864142,2.8170884053333327,1.7790162316398361,0.5165167062490087,0.3987128158736822,1.056408152,1.056408152,0.023467692622934393,0.026248009063746282,35.21555563078986,42.8894217955724,55.2779,9.755830637613933,0.03373006184895833,1.2465996593852677
07:00,1230.997722095672,1235.780271854346,2466.777993950018,2.906207997985385,2.521509714454775,5.42771771244016,6.81274113206129,20.902531185207643,30.739405834666666,13.03832036794723,4.415556263088047,3.2750847238856253,11.402993876000002,8.793044324,0.413417508096803,0.46145305260437175,468.74333561261494,541.2826115629036,54.8849,10.151830673217773,0.03672993977864583,2.4852973667848635
08:00,326.91900784611494,676.7986033171219,1003.7176111632367,3.237462550415884,2.402357619358021,5.6398201697739045,7.621252351571908,22.97935684648131,35.793593855999994,13.294105515723475,4.937324919950475,3.038087793409153,13.298314384000001,8.824115152,0.341142355628296,0.3806151582464471,472.6722245057424,552.5795236407001,57.9959,7.112829971313476,0.10873006184895834,1.0229606775825053
09:00,113.98127056441407,1013.1218356403541,1127.1031062047682,2.4796742038251143,2.5566404135560115,5.036314617381126,7.588548806766507,22.982702907460105,35.793593855999994,13.36021983425079,4.359425778785848,3.4288362505752152,13.422597696,8.69983184,0.4042656938663601,0.43556129822550765,424.05777975188363,503.9621119995873,61.5359,4.0339402516682945,0.5698397318522136,1.1442870116792725
10:00,250.24069855732725,645.6575632871929,895.8982618445202,2.5943992765982853,2.5383774844667704,5.132776761065055,7.691609047746265,23.02172870955605,32.14795265132809,13.935650543687617,4.286064379408958,3.444382495023964,13.422597696,8.948398464,0.2513833806215431,0.2773907496069379,486.66111414167614,563.3749345013532,64.8089,2.2660502115885417,2.0749501546223956,0.9134112961532742
11:00,59.063022019741844,1229.5520638483601,1288.6150858681021,2.4355303308099474,2.7089565869854844,5.144486917795431,7.745904914008563,23.006891239091456,31.816527871999995,14.07636503841177,4.28824048184706,3.4271897189473832,12.11762292,10.439798208000001,0.2324797250991437,0.26002257783008914,541.1111145867242,617.7693611288596,68.0189,1.1702396392822265,4.189139556884766,1.30616807523162
12:00,318.62946089597574,1007.9316623020328,1326.5611231980083,2.53880189996753,2.589502246693153,5.128304146660683,7.767910309884252,22.94795071368883,31.816527871999995,14.29937087459953,4.2687793584640445,3.4012836465434027,11.931197952,10.439798208000001,0.2451073027775915,0.27320242798087346,578.1888915803697,654.8641592227352,70.469894,0.6526199340820312,6.122520446777344,1.3440588969464147
13:00,108.80030372057708,985.0948996134181,1093.8952033339951,2.6442729849211344,2.650547991093825,5.294820976014959,7.827944154462035,23.03441880047037,31.816527871999995,14.278286788483237,4.3037408785646845,3.254317409019698,11.931197952,9.880523304,0.3301200906159473,0.3692308089183018,582.8833348698086,659.0472799734105,71.9609,0.5550799051920573,7.515980529785156,1.1119611325041583
14:00,202.05770690964314,1202.5631624890884,1404.6208693987317,2.3519102211564507,2.598093862968145,4.950004084124596,7.937296727606489,23.108264303531712,31.816527871999995,15.359909653498013,4.340082781542051,3.4328707304482964,11.931197952,10.315514896,0.44392484201736526,0.49557471893619903,632.9522253142462,711.0878287606882,73.4519,0.45680999755859375,8.908709716796874,1.4215102833337647
15:00,201.02151354087573,948.7636862451677,1149.7851997860437,2.5037002180378436,2.586885576078765,5.090585794116608,7.971812328031842,23.12987848831309,31.816527871999995,15.659913204406,4.370604066027079,3.4763146956963884,11.931197952,10.439798208000001,0.4326948796084549,0.48395806542565867,629.2644476731618,707.8754566163254,73.9469,0.5310801188151042,9.477979787190755,1.1671542785155693
16:00,119.68033409263477,1123.1535104127697,1242.8338445054044,2.5269156018806505,2.646650255939599,5.1735658578202495,8.000429463535918,23.137735351649034,31.6522368836783,15.660523241395337,4.331124096564561,3.4939406822053756,11.931197952,10.439798208000001,0.4220717478466737,0.4711325966074513,631.7877808994716,710.1898063077695,73.9829,0.351080067952474,9.333980051676432,1.260486051212287
17:00,225.89015439129338,1011.0457663050256,1236.935920696319,2.491799379405796,2.5953174885326917,5.087116867938487,7.991762075943782,23.11850997269409,31.816527871999995,15.661342280165202,4.3390683696944965,3.4763851052333052,11.931197952,10.439798208000001,0.41875645400560924,0.46836829580338635,643.8588917414347,722.4103362783368,72.77689,0.6773499806722005,8.454249318440755,1.254293163449725
18:00,152.8385218931916,1057.757326349919,1210.5958482431104,2.545416885075317,2.6315048465971236,5.17692173167244,7.989266261054518,23.129151042310813,31.816527871999995,15.660928945837517,4.316044402975477,3.450145382058207,11.931197952,10.439798208000001,0.31031176885413003,0.3442444021944006,565.1488929642571,643.4180918981768,70.3919,0.9241600036621094,6.31605962117513,1.228259505191577
19:00,233.66160465704885,1093.050505050505,1326.712109707554,2.5430747793381983,2.6284687683439283,5.171543547682126,8.057594336084986,23.15749295560033,31.816527871999995,15.658890536225446,4.3219538151517165,3.4631047789426246,11.931197952,10.439798208000001,0.2628675974118587,0.29401062943396156,534.3744485590192,612.562799948185,67.4009,1.4912401835123699,3.892140197753906,1.3443574162922451
20:00,239.87876486965328,1027.6543209876543,1267.5330858573075,2.5952022881973287,2.6572284341426684,5.252430722339997,7.994112493085718,22.94680335704293,31.816527871999995,15.657650572975708,4.299307634145522,3.4703016462873792,11.931197952,10.439798208000001,0.23854769345295546,0.265865674096539,531.0622252782185,609.1814225311767,65.512245,2.014386275718952,2.526630533152613,1.2854543794819315
21:00,55.95444191343964,945.1305649083426,1001.0850068217824,0.9554532608436691,1.9603383667393384,2.9157916275830074,7.788030631803028,1.7062752578022229,16.559991083309935,6.720493676454727,2.2154849879603256,1.229100911014164,6.52487388,4.474199232,0.033547691677831185,0.03657845821563459,125.39555653995939,163.189826460592,63.290176,2.9672274096258757,1.257403669686153,1.0110336878550956
22:00,53.88205517590483,1061.9094650205761,1115.791520196481,0.4574125144086853,1.6885102525420137,2.1459227669506986,7.729050500813712,0.026428220864142,14.805974109958637,7.084191087123453,2.016373464940798,1.1721019640931014,5.717032352,3.666357704,0.028699553143211775,0.03209971014757128,118.77222293217977,153.29505287758653,61.772587,3.7594451904296875,0.5320345122238685,1.1231134086773167
23:00,11.916223740825107,1066.5806210250655,1078.4968447658905,0.39698948432747183,1.7209761998635562,2.1179656841910277,4.549920881427714,0.026428220864142,7.954131967999999,3.883445872672601,1.1492467290484505,0.6706208297809136,3.1070828,2.1128163040000003,0.01718450671285012,0.01922042764076814,56.080000501208836,74.99374993906441,60.53121,4.6114654541015625,0.14267599171605602,1.0857233436803504
